store,product,type,promotion,validity,ori price,promo price
Tesco,Coca Cola Zero 2 Litre,Sugar Free Cola,"Any 2 for £3 Clubcard Price - Selected Diet Coke, Coke Zero, Fanta Or Dr Pepper Drinks 2 Litre",Offer valid for delivery from 20/04/2022 until 21/06/2022,1.77,1.77
Tesco,Tesco Corned Beef 125G,Corned Beef,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Plenty White Kitchen Roll 200 Sheets,Medium Packs Kitchen Rolls,£3.50 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,5.0,3.5
Tesco,Jacobs Mini Cheddars Original 6X25g,Cheese Multipack Crisps & Snacks,£1.35 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.5,1.35
Tesco,Muller Corner Vanilla Yogurt & Milk Chocolate Digestives 124G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Tesco Finest Jacket Potatoes 4 Pack,Baking & Jacket Potatoes,£1.10 Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,1.5,1.1
Tesco,Muller Light Toffee Yogurt 160G,Fat Free Yoghurts,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Tesco Cream Of Tomato Soup 400G,Everyday Tinned Soup,4 for £1.75 Clubcard Price - Tesco Cream Of Tomato Soup 400g,Offer valid for delivery from 02/06/2022 until 21/06/2022,0.55,0.55
Tesco,Summer Pride Chickpeas In Salted Water 400G,"South Asian Beans, Lentils & Chickpeas",Any 3 for £1 Clubcard Price - Selected Summer Pride Tomatoes Peas Or Kidney Beans 400g,Offer valid for delivery from 21/05/2022 until 30/08/2022,0.4,0.4
Tesco,Tesco British Roast Chicken 125G,Chicken Slices,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Arla Bob Skimmed Milk 2 Litre,Skimmed Milk,Any 2 for £4 Clubcard Price - Selected Dairy Products 2 Litre,Offer valid for delivery from 16/06/2022 until 05/07/2022,2.25,2.25
Tesco,Muller Corner Strawberry Yogurt 136G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Tesco Finest Raspberries 150G,Raspberries,Any 2 for £3.50 Clubcard Price - Selected Tesco Finest* Or Tesco Fruits,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.5,2.5
Tesco,Muller Corner Banana Yogurt With Chocolate Flakes 124G,Creamy Yoghurt,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Walkers Ready Salted Crisps 6X25g,Ready Salted Multipack Crisps & Snacks,£1.35 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.65,1.35
Tesco,Tesco British Pork Crumbed Ham 125G,Crumbed Ham,Any 2 for £3.50 Clubcard Price - Selected Tesco Meat Products 100g-130g,Offer valid for delivery from 20/04/2022 until 11/09/2022,2.0,2.0
Tesco,Tesco Lemons 4 Pack,Lemons,£1.00 Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,1.35,1.0
Tesco,Jaffa Oranges Minimum 4 Pack,Oranges,£1.50 Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,2.0,1.5
Tesco,Clover Original Spread 500G,Buttery Spread & Margarine,£1.50 Clubcard Price,Offer valid for delivery from 15/06/2022 until 05/07/2022,2.0,1.5
Tesco,Tesco Grated Mozzarella & Cheese Mix 200G,Grated Continental Cheese,Any 2 for £3.50 Clubcard Price - Selected Tesco Or Cathedral City Cheddar Slices 150g - 250g,Offer valid for delivery from 15/06/2022 until 26/07/2022,2.0,2.0
Tesco,Walkers Cheese & Onion Crisps 6X25g,Cheese & Onion Multipack Crisp & Snacks,£1.35 Clubcard Price,Offer valid for delivery from 01/06/2022 until 21/06/2022,1.65,1.35
Tesco,Muller Light Strawberry Yogurt 160G,Fat Free Yoghurts,6 for £3 or 10 for £4 Clubcard Price - Muller Yoghurt 124g-170g,Offer valid for delivery from 15/06/2022 until 05/07/2022,0.7,0.7
Tesco,Schweppes Slimline Tonic Water 1L,Tonic & Soda Water,Any 2 for £2 Clubcard Price - Selected Schweppes Mixers 1 Litre,Offer valid for delivery from 30/05/2022 until 19/06/2022,1.6,1.6
Tesco,Tesco Radish Pack 240G,Radish,29p Clubcard Price,Offer valid for delivery from 07/06/2022 until 20/06/2022,0.55,0.55
Tesco,Tesco Melon Finger Tray 80G,Fruit Snack Packs,Any 3 for £1.50 Clubcard Price - Selected Tesco Fingers 80g Or 90g,Offer valid for delivery from 10/05/2022 until 26/09/2022,0.6,0.6
Tesco,Tesco Italian Plum Peeled Tomatoes 400G,Plum & Peeled Tomatoes,Any 4 for £1.60 Clubcard Price - Tesco Peeled Plum Or Italian Chopped Tomatoes 400g,Offer valid for delivery from 01/02/2022 until 28/02/2023,0.45,0.45
